,Population Density (Per Sq. Mile),Area (Land),% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over,Households:,Median Household Income (In 2019 Inflation Adjusted Dollars),Per Capita Income (In 2019 Inflation Adjusted Dollars),Renter-Occupied Housing Units,Owner-Occupied Housing Units,Renter-Occupied Housing Units with Cash Rent,Population for Whom Poverty Status Is Determined:,NDVI,NDBI,ESA_LC_MODE,Impervious_Surface,Tree_Coverage,RD_LST_0723,RD_LST_0808,RD_LST_Composite,RD_MODIS_0721,RD_MODIS_0724,am_hi,am_t,af_hi,af_t,pm_hi,pm_t
124,2621.293,0.797316435,3.97,3.78,778,158553,82369,41,737,41,2090,0.512699366,-0.250140458,10,10.74923515,58.50269699,45719.74219,46550.20703,46449.40625,15246.44238,15302.96484,68.34906006,67.58342743,85.34955597,83.72428894,82.79158783,80.72081757
125,1197.41,0.408381429,3.27,1.64,238,83438,47013,169,69,161,489,0.49840495,-0.276304752,10,22.14433861,67.22383118,45985.89844,46398.14844,46707.76953,15269.90527,15356.18945,68.28741455,67.51700592,85.62607574,83.70053101,82.05374908,80.06732941
126,2581.221,0.624510615,3.1,2.61,658,127656,77452,107,551,107,1612,0.524868727,-0.209097594,10,13.22708607,54.18564224,45704.13672,46429.10156,46609.71875,15273.84082,15308.48242,68.4177475,67.68729401,85.48543549,84.01476288,83.10723877,80.93268585
127,3129.113,0.275797031,3.48,2.55,508,81204,79851,225,283,225,863,0.497478247,-0.158467144,10,22.06337547,46.9246254,46769.05078,46758.08203,46329.04688,15288.04492,15327.47656,68.73418427,68.04915619,85.96768951,84.22403717,83.67655945,81.21059418
128,2998.586,0.341494246,2.34,0.78,448,159750,98155,62,386,62,1024,0.525305688,-0.21106109,10,11.21319485,56.17755508,46621.5,46584.33594,46874.38672,15274.08887,15287.19434,68.25229645,67.61423492,85.51161957,83.87281036,82.98792267,80.76220703
129,3373.929,0.38086161,6.46,1.63,509,118015,62478,145,364,145,1285,0.456677288,-0.190638423,10,18.18036461,46.92333221,46841.06641,47137.5,46818.28906,15296.28906,15333.81543,68.8924942,68.26150513,86.59759521,84.50843048,83.88621521,81.29299927
130,2954.519,0.258586912,3.8,0,261,169464,76383,10,251,10,764,0.508860826,-0.21621041,10,9.095727921,50.32341766,46083.59375,46544.99609,46766.82031,15276.86719,15311.80176,68.16721344,67.60287476,85.95232391,84.21156311,83.62419128,80.92943573
131,3651.068,0.266497374,6.06,3.6,306,213929,138610,31,275,31,825,0.509075463,-0.176780403,10,15.19631386,50.35255051,47027.82422,47293.92969,46907.93359,15318.20508,15366.94629,68.95580292,68.34337616,86.75107574,84.54289246,83.64958191,81.08342743
132,2023.256,0.45372411,8.5,3.05,329,203281,79213,24,305,13,918,0.499150187,-0.246442348,10,10.79200935,59.73447418,46025.60938,46570.30859,46735.39063,15258.64746,15303.28906,68.24183655,67.48280334,85.44146729,83.47917175,82.22303772,80.2914505
133,3274.047,0.433408572,4.23,0.56,536,232955,101635,0,536,0,1419,0.510261714,-0.22559531,10,9.726579666,57.24930573,46238.625,46630.33984,46556.64063,15267.40625,15291.375,68.37862396,67.63500977,85.47110748,83.74685669,82.75041199,80.69688416
134,1026.345,0.996740525,5.77,1.37,381,220795,111168,60,321,51,1023,0.477265596,-0.21562171,10,12.99517536,58.19717407,46024.48828,46515.91406,46522.57422,15242.75781,15255.46387,68.42319489,67.65202332,86.21018219,83.87772369,82.28792572,80.35308838
135,2136.45,0.623464279,1.88,0,650,100526,61849,197,453,197,1332,0.28013292,-0.130747974,50,41.8331604,41.48369217,47750.58594,47296.01953,47659.38281,15332.62207,15410.86133,70.18243408,69.39828491,85.79930878,84.47987366,83.95176697,81.87979126
136,4934.344,0.329932417,0.98,0,696,131591,71956,209,487,209,1628,0.366618454,-0.249729782,10,21.61022377,48.36645126,47222.02344,47117.22656,47593.39063,15295.06348,15362.68164,68.92874908,68.32471466,86.68264771,84.57923889,83.88597107,81.31760406
137,3177.919,0.504418167,6.67,7.24,806,66667,47595,345,461,333,1472,0.360496044,-0.180445254,10,28.58337784,45.58519363,47018.63672,47372.58594,47505.50781,15296.9209,15328.20313,69.51656342,68.80143738,86.15641785,84.31318665,83.75310516,81.42381287
138,2492.385,0.712570483,5.46,0,655,69217,31590,247,408,247,1771,0.504918337,-0.180300996,10,14.31802464,52.13473892,45046.9375,46504.29688,46649.00781,15364.20215,15346.64844,68.46086884,67.65235901,86.7134552,84.28347015,83.12940216,80.60139465
